10d6units,The nation that owns the event gains 10d6 units.
11d6units,The nation that owns the event gains 11d6 units.
12d6units,The nation that owns the event gains 12d6 units.
13d6units,The nation that owns the event gains 13d6 units.
14d6units,The nation that owns the event gains 14d6 units.
15d6units,The nation that owns the event gains 15d6 units.
16d6units,The nation that owns the event gains 16d6 units.
1d3units,The nation that owns the event gains 1d3 units.
1d3vis,Gain 1d3 gems of specified type.
1d6units,The nation that owns the event gains 1d6 units.
1d6vis,Gain 1d6 gems of specified type.
1unit,The nation that owns the event gains one unit.
2com,The nation that owns the event gains two commanders of the specified type.
2d3units,The nation that owns the event gains 2d3 units.
2d4vis,Gain 2d4 gems of specified type.
2d6units,The nation that owns the event gains 2d6 units.
2d6vis,Gain 2d6 gems of specified type.
3d3units,The nation that owns the event gains 3d3 units.
3d6units,The nation that owns the event gains 3d6 units.
3d6vis,Gain 3d6 gems of specified type.
4com,The nation that owns the event gains four commanders of the specified type.
4d3units,The nation that owns the event gains 4d3 units.
4d6units,The nation that owns the event gains 4d6 units.
4d6vis,Gain 4d6 gems of specified type.
5com,The nation that owns the event gains five commanders of the specified type.
5d6units,The nation that owns the event gains 5d6 units.
6d6units,The nation that owns the event gains 6d6 units.
7d6units,The nation that owns the event gains 7d6 units.
8d6units,The nation that owns the event gains 8d6 units.
9d6units,The nation that owns the event gains 9d6 units.
acid,This weapon does acid damage. Acid weapons can damage armor. Damaged armor will break if subjected to more blows but will be repaired if there are enough resources in the province the monster is in.
aciddigest,The monster digests any swallowed creatures and causes their armor to be weakened like the Rust Mist spell.
acidshield,Anyone striking this monster will take
addequip,Adds magic items to a commander. Equipment level is from 1 to 4 and corresponds to item level from trinkets to very powerful items. Use the value 9 for equipment level and a bracketed [item name] in the #msg text to add a specific magic item. An item is not guaranteed at equipment level 1. The command also gives the commander gems appropriate to his magic paths.
addforeigncom,This commander can only be recruited in provinces with no fort.
addforeignunit,This unit can only be recruited in provinces with no fort.
addgod,Adds this monster as a god to the nations list of valid gods. The monster must have the #startdom and #pathcost commands set. If the monster does not have a defined homerealm this command is the only way to add it as a god.
addname,Adds a name to the selected nametype.
addrandomage,Makes the monster start 1 to years (a random die) older.
addreccom,Adds a commander to the recruitment list.
addrecunit,Adds a unit to the recruitment list.
addsite,"Adds a new, already discovered site to the province. Use -1 for site number to place [sitename] instead. [Sitename] must be added to event message text in brackets."
addupkeep,Upkeep will be calculated as if the unit cost this much more to recruit.
adventureruin,A commander who enters the ruin has a chance to discover gold gems magic items or other rewards. Those who fail may fall victim to lethal traps or bloodthirsty monsters.
aiairnation,Hint to AI that Air magic is used a lot in this nation and that an air god is probably good.
aiastralnation,Hint to AI that Astral magic is used a lot in this nation and that an astral god is probably good.
aiawake,When playing this nation the AI will have this much extra chance of choosing an awake pretender.
aibadlvl,The spell AI will never choose this spell if is is level or higher in the required magic path.
aibloodnation,Hint to AI that Blood magic is used a lot in this nation and that a blood god is probably good.
aicheapholy,Informs the AI that this nation has cheap expendable sacred units. So a Charge Body bless effect or something similar could be appropriate. Marignon and Mictlan has this hint.
aideathnation,Hint to AI that Death magic is used a lot in this nation and that a death god is probably good.
aiearthnation,Hint to AI that Earth magic is used a lot in this nation and that a earth god is probably good.
aifirenation,Hint to AI that Fire magic is used a lot in this nation and that a fire god is probably good.
aiglamournation,Hint to AI that Glamour magic is used a lot in this nation and that an air god is probably good.
aigoodbless,Use to increase the chance of creating a powerful bless. 100=only do gods with a powerful bless effects for this nation.
aiholdgod,When playing this nation the AI will never leave the home province with the pretender.
aiholyranged,Informs the AI that this nation has sacred ranged units. So a Wind Guide bless or something similar could be appropriate.
aimusthavemag,Makes AI pretender have at least 3 in this magic school. Only one of these possible per nation.
ainaturenation,Hint to AI that Nature magic is used a lot in this nation and that a nature god is probably good.
ainocast,The spell AI will never select this spell unless it has been scripted. Use this for spells like Returning that should normally never be cast.
ainorec,Will tell the AI to never recruit this monster.
airattuned,Chance of getting a bonus level of magic when transformed into this being.  In place of [path] insert the name of the magic path in all lower case for the correct command (#fireattuned #airattuned etc).
airblessbonus,Gods of this nation will get extra bless design points of this type.
airboost,One commander determined by target requirements or the monster number may gain +1 Air magic.
airelementals,Please let me know if you know what this does.
airrange,All Air rituals cast in this province have their range increased by
airshield,The monster gains the airshield special ability.
aisinglerec,Will tell the AI to only recruit a single one of these per batch.
aispellmod,This modifies the spell AI to (dis)like this spell. Usually there is no need for this command. A value of -100 makes it never be cast and a value of 100 makes it twice as likable for the spell AI.
aiwaternation,Hint to AI that Water magic is used a lot in this nation and that a water god is probably good.
alchemy,The monster is more efficient when casting spells the converts gems into gold. A typical Alchemist has a value of 50.
allies, These two players will not attack each other. This command will only affect computer players.
allowedplayer, Makes this nation one of the allowed nations to play on this map. Use this command multiple times or the map will only be able to host one player. Nation numbers can be found in the tables below. This command can be used to make era specific maps.
allrange,All magic rituals cast in this province have their range increased by
allret,Extra chance of returning from any of the other planes a monster can be banished to.
almostliving,Unit will require not undead leadership to lead even though it is undead. This command must come after the #undead command.
almostundead,Unit will require undead leadership to lead even though it isnt an undead or a demon.
altcost,All rituals of the Alteration school cast in this province cost
ambidextrous,This monster gets reduced attack penalty when using two weapons. A normal value is 2 or 3.
ammo,This is the number of times that this weapon can be fired in combat. The default value is 12. The maximum value is 30.
amphibian,This monster can travel both under and over water.
animal,Indicates that the monster is an animal. Animals are affected by the Animal Awe power. Animals receive a morale bonus when led to combat by a beast master.
animalawe,Bonus can be a value of one or more. A bonus of one means that animals with a morale of 11 have about 50% chance of daring to strike. A bonus of 10 means that you need a morale of 20 to get a 50% chance. Standard value is 1 (for Awe(+1) ).
aoe,Sets the area of effect for this spell. Add 1000 to this value to give larger areas to more powerful casters. E.g. 1001 means area = 1+1/level of caster (area would be 2 for a level 1 mage). A value of 666 means that the entire battlefield is affected. 663 means that 50% of all squares are affected 665 = 25% 664 = 10% 662 = 5%.
ap,The number of action points when the monster is unencumbered. This should be about 12 for a human 20 for a knight or 25 for light cavalry. Action points is the same as combat speed.
aquatic,This monster can only live under water.
arena,Opens the Area Death Match for competitors. Players will be able to send heroes to the arena this turn.
armor,Defines what kind of armor if any the units gets when it uses the item. Use #armor 0 to clear an existing armor from a copied item.
armornegating,The weapon is armor negating. Armor is completely ignored when determining damage.
armorpiercing,The weapon is armor piercing. Armor protection is halved when determining damage.
assassin,"An assassin of this type attacks a random commander in the province. If a target requirement for the event is set, the assassin attacks that commander."
assencloc,"Specifies an encounter location that the assassinations will appear in. If not specified, a suitable one for each occasion will be used. Possible values can be seen below."
assowner,The following assassins created by this event will be owned by this nation.
astralattuned,Chance of getting a bonus level of magic when transformed into this being.  In place of [path] insert the name of the magic path in all lower case for the correct command (#fireattuned #airattuned etc).
astralblessbonus,Gods of this nation will get extra bless design points of this type.
astralboost,One commander determined by target requirements or the monster number may gain +1 Astral magic.
astralrange,All Astral rituals cast in this province have their range increased by
att,The item grants an attack bonus.
autobless,This bearer of this item will be blessed automatically if it is sacred. Like the Flask of Holy Water magic item.
autocompete,The bearer of this item will automatically compete in the Arena deathmatch.
autodisgrinder,The monster automatically heals disease from
autodishealer,The monster automatically heals disease from
autohealer,The monster automatically heals
autospell,Makes the item cast this spell automatically in battle. It will only be cast once unless #autospellrepeat is also used.
autospellrepeat,Makes an item cast its autospell every round of combat.
autoundead,The nations Dominion automatically spawns undead like Ashen Empire Ermor.
autumnshape,Changes into another monster when this season is active.
awe,Bonus can be a value of one or more. A bonus of one means that people with a morale of 11 have about 50% chance of daring to strike. A bonus of 10 means that you need a morale of 20 to get a 50% chance. Standard value is 1 (for Awe(+1) ). 24
badindpd,This nation will not have national PD troops in any forted province except the home province.
banefireshield,Anyone striking this monster will take
banished,One commander determined by target requirements is banished to another plane.  -11 = The Void -12 = Inferno -13 = Kokytos
barkskin,The item automatically applies the Barkskin spell to the bearer like the Barkskin Amulet.
batmap, Sets the battleground that fights take place in for the current province. You can use the special name  empty  for no battleground
batstartsum1,Summons x monsters at start of battle.
batstartsum1d3,Summons 1d3 monsters at start of battle.
batstartsum1d6,Summons x monsters at start of battle.
batstartsum2,Summons x monsters at start of battle.
batstartsum2d6,Summons x monsters at start of battle.
batstartsum3,Summons x monsters at start of battle.
batstartsum3d6,Summons x monsters at start of battle.
batstartsum4,Summons x monsters at start of battle.
batstartsum4d6,Summons x monsters at start of battle.
batstartsum5,Summons x monsters at start of battle.
batstartsum5d6,Summons x monsters at start of battle.
batstartsum6d6,Summons x monsters at start of battle.
batstartsum7d6,Summons x monsters at start of battle.
batstartsum8d6,Summons x monsters at start of battle.
batstartsum9d6,Summons x monsters at start of battle.
battlesum1,Summons x monsters at start of battle.
battlesum2,Summons x monsters at start of battle.
battlesum3,Summons x monsters at start of battle.
battlesum4,Summons x monsters at start of battle.
battlesum5,Summons x monsters at start of battle.
beam,Beam weapon like dragon breath.
beartattoo,Magic tattoo like the units of Marverni and Sauromatia have.
beastmaster,All animals under the command of this monster have their morale increased by
beckon,Gives the monster the ability to lure enemy commanders like the Siren. The value indicates the difficulty of the morale check 10 is standard.
bers,The bearer of the item will go berserk as soon as battle begins. Berserker Pelt has this attribute.
berserk,This monster can go berserk like a barbarian chief or a minotaur. The bonus value will be added to strength and attack and subtracted from defense. It also increases encumbrance. A normal bonus value is 3.
bird,Use this for birds rocs couatl and similar things.
bless,The item automatically applies the Bless spell to the bearer like the Shroud of the Battle Saint.
blessairshld,Blessed troops get Air Shield like from an Air bless. An existing Air bless is augmented.
blessanimawe,Blessed troops get Animal Awe. An existing Animal Awe ability is augmented.
blessatt,Blessed troops get increased Attack skill.
blessawe,Blessed troops get Awe. An existing Awe ability is augmented.
blessbers,Will make unit go berserk when blessed.
blesscoldres,Blessed troops get increased Cold Resistance.
blessdarkvis,Blessed troops get Darkvision. An existing Darkvision ability is augmented.
blessdef,Blessed troops get increased Defense skill.
blessdtv,Blessed troops get undying like the undying bless effect. An existing undying bless is augmented.
blessfireres,Blessed troops get increased Fire Resistance.
blessfly,Will grant the unit flying when blessed.
blesshp,Blessed troops get increased Hit Points.
blessmor,Blessed troops get increased Morale.
blessmr,Blessed troops get increased Magic Resistance.
