record_id,effect_number,duration,ritual,object_type,raw_argument,modifiers_mask,range_base,range_per_level,range_strength_divisor,area_base,area_per_level,area_battlefield_pct
1,2,,,Weapon,3,2.74947E+11,0,,,0,,
2,2,,,Weapon,5,2.74947E+11,0,,,0,,
3,2,,,Weapon,7,2.74947E+11,0,,,0,,
4,2,,,Weapon,6,4.8332E+11,0,,,0,,
5,2,,,Weapon,10,1.37446E+12,0,,,0,,
6,2,,,Weapon,5,1.37446E+12,0,,,0,,
7,2,,,Weapon,3,5.49758E+11,0,,,0,,
8,2,,,Weapon,6,1.09958E+12,0,,,0,,
9,2,,,Weapon,2,2.74947E+11,0,,,0,,
10,2,,,Weapon,8,1.09958E+12,0,,,0,,
11,2,,,Weapon,9,1.09958E+12,0,,,0,,
12,2,,,Weapon,6,5.49758E+11,0,,,0,,
13,2,,,Weapon,7,8.24636E+11,0,,,0,,
14,2,,,Weapon,9,5.49758E+11,0,,,0,,
15,2,,,Weapon,6,8.24703E+11,0,,,0,,
16,2,,,Weapon,3,5.49825E+11,0,,,0,,
17,2,,,Weapon,8,1.09958E+12,0,,,0,,
18,2,,,Weapon,9,1.09958E+12,0,,,0,,
19,2,,,Weapon,15,1.09965E+12,0,,,0,,
20,2,,,Weapon,2,1.09965E+12,0,,,0,,
21,2,,,Weapon,2,2.7488E+11,,,1,0,,
22,2,,,Weapon,5,4.61169E+18,30,,,0,,
23,2,,,Weapon,6,4.61169E+18,35,,,0,,
24,2,,,Weapon,9,4.61169E+18,45,,,0,,
25,2,,,Weapon,8,4.61169E+18,40,,,0,,
26,2,,,Weapon,12,4.61169E+18,50,,,0,,
27,2,,,Weapon,10,5.49758E+11,,,3,0,,
28,2,,,Weapon,3,2.74947E+11,0,,,0,,
29,2,,,Weapon,0,1.09951E+12,0,,,0,,
30,2,,,Weapon,-2,2.75014E+11,0,,,0,,
31,2,,,Weapon,2,2.7488E+11,0,,,0,,
32,2,,,Weapon,1,2.7488E+11,0,,,0,,
33,2,,,Weapon,0,1.09951E+12,0,,,0,,
34,109,,,Weapon,0,2.7488E+11,8,,,0,,
35,2,,,Weapon,1,2.74878E+11,0,,,0,,
36,2,,,Weapon,3,2.77025E+11,0,,,0,,
37,2,,,Weapon,5,1.09951E+12,0,,,0,,
38,2,,,Weapon,-4,2.75012E+11,0,,,0,,
39,2,,,Weapon,0,0,0,,,0,,
