Friendly name,prefix,body,description
10d6units,#10d6units,~#10d6units~,The nation that owns the event gains 10d6 units.
11d6units,#11d6units,~#11d6units~,The nation that owns the event gains 11d6 units.
12d6units,#12d6units,~#12d6units~,The nation that owns the event gains 12d6 units.
13d6units,#13d6units,~#13d6units~,The nation that owns the event gains 13d6 units.
14d6units,#14d6units,~#14d6units~,The nation that owns the event gains 14d6 units.
15d6units,#15d6units,~#15d6units~,The nation that owns the event gains 15d6 units.
16d6units,#16d6units,~#16d6units~,The nation that owns the event gains 16d6 units.
1d3units,#1d3units,~#1d3units~,The nation that owns the event gains 1d3 units.
1d3vis,#1d3vis,~#1d3vis~,Gain 1d3 gems of specified type.
1d6units,#1d6units,~#1d6units~,The nation that owns the event gains 1d6 units.
1d6vis,#1d6vis,~#1d6vis~,Gain 1d6 gems of specified type.
1unit,#1unit,~#1unit~,The nation that owns the event gains one unit.
2com,#2com,~#2com~,The nation that owns the event gains two commanders of the specified type.
2d3units,#2d3units,~#2d3units~,The nation that owns the event gains 2d3 units.
2d4vis,#2d4vis,~#2d4vis~,Gain 2d4 gems of specified type.
2d6units,#2d6units,~#2d6units~,The nation that owns the event gains 2d6 units.
2d6vis,#2d6vis,~#2d6vis~,Gain 2d6 gems of specified type.
3d3units,#3d3units,~#3d3units~,The nation that owns the event gains 3d3 units.
3d6units,#3d6units,~#3d6units~,The nation that owns the event gains 3d6 units.
3d6vis,#3d6vis,~#3d6vis~,Gain 3d6 gems of specified type.
4com,#4com,~#4com~,The nation that owns the event gains four commanders of the specified type.
4d3units,#4d3units,~#4d3units~,The nation that owns the event gains 4d3 units.
4d6units,#4d6units,~#4d6units~,The nation that owns the event gains 4d6 units.
4d6vis,#4d6vis,~#4d6vis~,Gain 4d6 gems of specified type.
5com,#5com,~#5com~,The nation that owns the event gains five commanders of the specified type.
5d6units,#5d6units,~#5d6units~,The nation that owns the event gains 5d6 units.
6d6units,#6d6units,~#6d6units~,The nation that owns the event gains 6d6 units.
7d6units,#7d6units,~#7d6units~,The nation that owns the event gains 7d6 units.
8d6units,#8d6units,~#8d6units~,The nation that owns the event gains 8d6 units.
9d6units,#9d6units,~#9d6units~,The nation that owns the event gains 9d6 units.
acid,#acid,~#acid~,This weapon does acid damage. Acid weapons can damage armor. Damaged armor will break if subjected to more blows but will be repaired if there are enough resources in the province the monster is in.
aciddigest,#aciddigest,~#aciddigest~,The monster digests any swallowed creatures and causes their armor to be weakened like the Rust Mist spell.
acidshield,#acidshield,~#acidshield~,Anyone striking this monster will take
